,author_id
1757,A1011783301
1758,A1011790192
1759,A1011805395
1760,A101181117
1761,A1011813480
1762,A1011821220
1763,A1011838670
1764,A1011840367
1765,A101184835
1766,A1011849543
1767,A1011862360
1768,A1011873808
1769,A101188360
1770,A1011884458
1771,A1011894765
1772,A101190658
1773,A1011909121
1774,A1011911806
1775,A1011913330
1776,A101191336
1777,A101192055
1778,A1011934419
1779,A101194970
1780,A1011949966
1781,A101195917
1782,A101195942
1783,A1011970927
1784,A101197194
1785,A1011972285
1786,A1011972381
1787,A1011979134
1788,A101198277
1789,A1011996033
1790,A1011997813
1791,A1012002681
1792,A101201105
1793,A1012019449
1794,A1012020213
1795,A101202250
1796,A101202902
1797,A101204274
1798,A101204515
1799,A101204585
1800,A101204867
1801,A1012060257
1802,A101206120
1803,A1012073237
1804,A101207931
1805,A1012099607
1806,A101210217
1807,A1012118420
1808,A1012120899
1809,A1012126838
1810,A1012127417
1811,A101212870
1812,A10121319
1813,A101214322
1814,A101214527
1815,A101215302
1816,A1012161328
1817,A101217613
1818,A10121951
1819,A1012201995
1820,A101220307
1821,A101221004
1822,A101221071
1823,A1012214646
1824,A101221710
1825,A1012217812
1826,A101222094
1827,A101222655
1828,A10122325
1829,A101224211
1830,A1012246557
1831,A101225238
1832,A1012255705
1833,A1012256790
1834,A101226589
1835,A1012274295
1836,A1012282509
1837,A101229389
1838,A1012294088
1839,A101229699
1840,A101230078
1841,A101232149
1842,A1012335806
1843,A1012336885
1844,A1012339971
1845,A1012351197
1846,A101235476
1847,A1012362206
1848,A1012368340
1849,A101237258
1850,A1012375272
1851,A1012380970
1852,A101238302
1853,A1012384919
1854,A1012388717
1855,A1012414559
1856,A101241895
1857,A101242440
1858,A101242465
1859,A1012432073
1860,A1012439616
1861,A1012442059
1862,A1012451751
1863,A1012455954
1864,A101246702
1865,A101247451
1866,A1012478477
1867,A101249219
1868,A1012493801
1869,A1012494647
1870,A101250237
1871,A1012521775
1872,A101253226
1873,A1012532962
1874,A101253743
1875,A1012539364
1876,A101255388
1877,A101255510
1878,A101256469
1879,A10125788
1880,A1012584255
1881,A1012591322
1882,A1012601322
1883,A1012602577
1884,A1012620553
1885,A101262108
1886,A101262899
1887,A1012633294
1888,A101263349
1889,A1012634102
1890,A1012649425
1891,A101265192
1892,A101266505
1893,A1012668243
1894,A101267526
1895,A1012683572
1896,A1012693568
1897,A101270323
1898,A1012718660
1899,A1012722686
1900,A1012733905
1901,A101273899
1902,A101274902
1903,A101277271
1904,A1012775935
1905,A101278196
1906,A1012783444
1907,A1012787977
1908,A101279588
1909,A101280830
1910,A1012815881
1911,A1012817769
1912,A1012819373
1913,A101282276
1914,A101283182
1915,A1012835898
1916,A1012841344
1917,A1012856113
1918,A101287256
1919,A101287496
1920,A1012886586
1921,A101288935
1922,A1012905225
1923,A101292279
1924,A1012932054
1925,A1012965188
1926,A1012965491
1927,A101297627
1928,A1012976495
1929,A1012978037
1930,A1012984641
1931,A1012996839
1932,A10130069
1933,A101302463
1934,A1013036732
1935,A101303892
1936,A101304421
1937,A101304484
1938,A101305018
1939,A101305341
1940,A1013062473
1941,A101307122
1942,A101307478
1943,A1013075578
1944,A10130844
1945,A1013084851
1946,A101308978
1947,A101309241
1948,A101309648
1949,A101311612
1950,A1013117695
1951,A1013124704
1952,A101313455
1953,A101315951
1954,A101316341
1955,A101317915
1956,A1013187372
1957,A101319827
1958,A1013201036
1959,A1013212797
1960,A1013237153
1961,A1013240388
1962,A1013250222
1963,A101325449
1964,A1013254843
1965,A101325574
1966,A1013258029
1967,A1013261166
1968,A101326777
1969,A101327206
1970,A1013277428
1971,A1013279621
1972,A101328632
1973,A1013305147
1974,A101331264
1975,A101331585
1976,A101331815
1977,A1013325649
1978,A1013328093
1979,A101332956
1980,A10133430
1981,A101335344
1982,A1013368272
1983,A101337481
1984,A101337671
1985,A101338556
1986,A1013389924
1987,A1013394753
1988,A101339921
1989,A1013404079
1990,A101340959
1991,A1013410316
1992,A1013436156
1993,A1013440202
1994,A1013441922
1995,A1013460070
1996,A1013461192
1997,A1013465156
1998,A101347461
1999,A1013493503
